UnitNumber,price,overall_satisfaction,reviews,room_type,accommodates,bedrooms,minstay,neighborhood,district,WalkScore,TransitScore,BikeScore,PctRentals
657,195,4.5,21,Entire home/apt,7,2,2,Logan Square,North,88,68,81,0.046647309
658,140,5,40,Entire home/apt,5,2,2,Logan Square,North,88,68,81,0.046647309
659,35,4.5,47,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
660,42,5,41,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
661,88,5,101,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
662,75,4.5,5,Private room,6,1,1,Logan Square,North,88,68,81,0.046647309
663,85,5,54,Entire home/apt,2,0,2,Logan Square,North,88,68,81,0.046647309
664,125,5,24,Entire home/apt,4,2,1,Logan Square,North,88,68,81,0.046647309
665,99,5,4,Entire home/apt,4,2,5,Logan Square,North,88,68,81,0.046647309
666,56,5,22,Private room,1,1,1,Logan Square,North,88,68,81,0.046647309
667,129,5,82,Entire home/apt,4,1,2,Logan Square,North,88,68,81,0.046647309
668,200,4.5,3,Entire home/apt,3,2,1,Logan Square,North,88,68,81,0.046647309
669,60,4.5,18,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
670,75,5,17,Private room,1,1,1,Logan Square,North,88,68,81,0.046647309
671,55,5,10,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
672,110,5,5,Entire home/apt,4,2,2,Logan Square,North,88,68,81,0.046647309
673,130,5,30,Private room,3,1,1,Logan Square,North,88,68,81,0.046647309
674,125,4.5,4,Entire home/apt,8,3,5,Logan Square,North,88,68,81,0.046647309
675,120,4.5,16,Entire home/apt,6,3,4,Logan Square,North,88,68,81,0.046647309
676,90,5,16,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
677,105,5,76,Entire home/apt,4,2,2,Logan Square,North,88,68,81,0.046647309
678,90,5,17,Entire home/apt,2,1,2,Logan Square,North,88,68,81,0.046647309
679,75,4.5,93,Entire home/apt,3,1,3,Logan Square,North,88,68,81,0.046647309
680,195,5,3,Entire home/apt,3,2,1,Logan Square,North,88,68,81,0.046647309
681,69,5,9,Private room,1,1,3,Logan Square,North,88,68,81,0.046647309
682,215,5,3,Entire home/apt,3,1,2,Logan Square,North,88,68,81,0.046647309
683,90,4,21,Entire home/apt,6,2,2,Logan Square,North,88,68,81,0.046647309
684,38,4.5,25,Private room,1,1,1,Logan Square,North,88,68,81,0.046647309
685,130,5,67,Entire home/apt,3,2,1,Logan Square,North,88,68,81,0.046647309
686,195,4.5,9,Entire home/apt,16,2,1,Logan Square,North,88,68,81,0.046647309
687,43,5,6,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
688,70,5,53,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
689,150,4,11,Entire home/apt,6,2,2,Logan Square,North,88,68,81,0.046647309
690,80,5,28,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
691,80,4.5,3,Entire home/apt,6,3,3,Logan Square,North,88,68,81,0.046647309
692,75,5,6,Private room,2,1,NA,Logan Square,North,88,68,81,0.046647309
693,45,5,16,Private room,3,1,1,Logan Square,North,88,68,81,0.046647309
694,145,4.5,27,Entire home/apt,8,3,NA,Logan Square,North,88,68,81,0.046647309
695,89,5,8,Entire home/apt,4,1,1,Logan Square,North,88,68,81,0.046647309
696,39,4.5,78,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
697,90,4.5,14,Entire home/apt,2,1,1,Logan Square,North,88,68,81,0.046647309
698,140,5,17,Entire home/apt,4,2,1,Logan Square,North,88,68,81,0.046647309
699,80,4.5,29,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
700,100,4.5,6,Entire home/apt,4,2,3,Logan Square,North,88,68,81,0.046647309
701,70,5,29,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
702,125,5,3,Entire home/apt,4,2,2,Logan Square,North,88,68,81,0.046647309
703,140,4.5,13,Entire home/apt,3,1,2,Logan Square,North,88,68,81,0.046647309
704,125,4,3,Entire home/apt,2,1,2,Logan Square,North,88,68,81,0.046647309
705,40,5,5,Private room,6,1,1,Logan Square,North,88,68,81,0.046647309
706,250,4.5,16,Entire home/apt,7,3,1,Logan Square,North,88,68,81,0.046647309
707,40,5,5,Shared room,2,1,1,Logan Square,North,88,68,81,0.046647309
708,30,5,9,Private room,1,1,1,Logan Square,North,88,68,81,0.046647309
709,95,5,97,Entire home/apt,3,1,2,Logan Square,North,88,68,81,0.046647309
710,60,5,4,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
711,105,5,40,Entire home/apt,4,2,2,Logan Square,North,88,68,81,0.046647309
712,49,4.5,57,Private room,3,1,4,Logan Square,North,88,68,81,0.046647309
713,75,5,19,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
714,150,5,66,Entire home/apt,6,3,2,Logan Square,North,88,68,81,0.046647309
715,145,5,5,Entire home/apt,7,1,2,Logan Square,North,88,68,81,0.046647309
716,90,5,20,Entire home/apt,4,1,1,Logan Square,North,88,68,81,0.046647309
717,110,5,26,Entire home/apt,2,1,NA,Logan Square,North,88,68,81,0.046647309
718,35,4.5,33,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
719,108,4.5,11,Entire home/apt,2,1,1,Logan Square,North,88,68,81,0.046647309
720,75,4.5,7,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
721,69,5,10,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
722,25,5,53,Shared room,10,1,1,Logan Square,North,88,68,81,0.046647309
723,125,5,28,Entire home/apt,4,2,2,Logan Square,North,88,68,81,0.046647309
724,69,5,50,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
725,110,5,22,Entire home/apt,4,2,2,Logan Square,North,88,68,81,0.046647309
726,45,4.5,33,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
727,129,4.5,8,Entire home/apt,8,3,5,Logan Square,North,88,68,81,0.046647309
728,40,5,21,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
729,50,5,24,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
730,65,4.5,51,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
731,40,4.5,42,Private room,1,1,2,Logan Square,North,88,68,81,0.046647309
732,31,5,22,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
733,100,5,6,Entire home/apt,6,2,1,Logan Square,North,88,68,81,0.046647309
734,80,5,101,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
735,150,5,45,Entire home/apt,7,3,2,Logan Square,North,88,68,81,0.046647309
736,56,5,5,Entire home/apt,2,1,3,Logan Square,North,88,68,81,0.046647309
737,125,5,16,Entire home/apt,4,2,2,Logan Square,North,88,68,81,0.046647309
738,44,5,28,Private room,1,1,1,Logan Square,North,88,68,81,0.046647309
739,179,4.5,77,Entire home/apt,6,3,3,Logan Square,North,88,68,81,0.046647309
740,95,4.5,7,Entire home/apt,2,1,3,Logan Square,North,88,68,81,0.046647309
741,40,5,4,Private room,2,1,NA,Logan Square,North,88,68,81,0.046647309
742,149,4.5,61,Entire home/apt,6,2,NA,Logan Square,North,88,68,81,0.046647309
743,88,4.5,41,Entire home/apt,4,2,2,Logan Square,North,88,68,81,0.046647309
744,70,5,111,Entire home/apt,3,0,1,Logan Square,North,88,68,81,0.046647309
745,69,4.5,60,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
746,109,4.5,3,Entire home/apt,4,2,2,Logan Square,North,88,68,81,0.046647309
747,90,5,3,Entire home/apt,4,2,2,Logan Square,North,88,68,81,0.046647309
748,45,4.5,54,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
749,60,5,37,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
750,35,4.5,74,Private room,6,1,1,Logan Square,North,88,68,81,0.046647309
751,100,4.5,32,Entire home/apt,2,1,2,Logan Square,North,88,68,81,0.046647309
752,160,5,55,Entire home/apt,2,1,2,Logan Square,North,88,68,81,0.046647309
753,50,5,46,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
754,40,4.5,60,Private room,1,1,4,Logan Square,North,88,68,81,0.046647309
755,100,5,16,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
756,135,4.5,40,Entire home/apt,12,3,NA,Logan Square,North,88,68,81,0.046647309
757,295,5,3,Entire home/apt,4,2,2,Logan Square,North,88,68,81,0.046647309
758,80,5,12,Entire home/apt,4,1,1,Logan Square,North,88,68,81,0.046647309
759,1000,5,30,Entire home/apt,16,7,1,Logan Square,North,88,68,81,0.046647309
760,40,5,89,Private room,2,1,NA,Logan Square,North,88,68,81,0.046647309
761,35,4.5,11,Private room,4,1,1,Logan Square,North,88,68,81,0.046647309
762,25,5,3,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
763,55,4.5,16,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
764,81,5,9,Entire home/apt,5,2,2,Logan Square,North,88,68,81,0.046647309
765,90,5,27,Entire home/apt,6,1,3,Logan Square,North,88,68,81,0.046647309
766,180,4.5,3,Entire home/apt,6,2,2,Logan Square,North,88,68,81,0.046647309
767,200,5,4,Entire home/apt,5,2,2,Logan Square,North,88,68,81,0.046647309
768,87,5,10,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
769,99,5,20,Entire home/apt,5,1,2,Logan Square,North,88,68,81,0.046647309
770,55,5,41,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
771,59,4.5,13,Entire home/apt,3,1,1,Logan Square,North,88,68,81,0.046647309
772,75,5,8,Entire home/apt,4,2,3,Logan Square,North,88,68,81,0.046647309
773,100,5,6,Entire home/apt,4,1,1,Logan Square,North,88,68,81,0.046647309
774,90,5,5,Entire home/apt,3,1,3,Logan Square,North,88,68,81,0.046647309
775,65,4,5,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
776,38,4,3,Private room,2,1,5,Logan Square,North,88,68,81,0.046647309
777,60,5,22,Entire home/apt,3,2,1,Logan Square,North,88,68,81,0.046647309
778,58,4.5,24,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
779,100,4,18,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
780,55,4.5,4,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
781,57,4.5,18,Private room,2,1,3,Logan Square,North,88,68,81,0.046647309
782,95,5,99,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
783,145,5,11,Entire home/apt,4,2,1,Logan Square,North,88,68,81,0.046647309
784,75,5,11,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
785,56,5,52,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
786,37,5,17,Private room,1,1,1,Logan Square,North,88,68,81,0.046647309
787,80,5,10,Entire home/apt,2,1,1,Logan Square,North,88,68,81,0.046647309
788,165,5,4,Entire home/apt,6,2,NA,Logan Square,North,88,68,81,0.046647309
789,48,5,16,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
790,65,4.5,13,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
791,269,4.5,3,Entire home/apt,5,3,2,Logan Square,North,88,68,81,0.046647309
792,135,5,8,Entire home/apt,3,1,2,Logan Square,North,88,68,81,0.046647309
793,99,5,37,Entire home/apt,2,2,2,Logan Square,North,88,68,81,0.046647309
794,70,4.5,10,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
795,99,4,9,Entire home/apt,3,1,1,Logan Square,North,88,68,81,0.046647309
796,100,5,17,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
797,29,4.5,37,Private room,1,1,1,Logan Square,North,88,68,81,0.046647309
798,75,5,17,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
799,125,4.5,92,Entire home/apt,4,2,1,Logan Square,North,88,68,81,0.046647309
800,98,4.5,3,Entire home/apt,4,1,2,Logan Square,North,88,68,81,0.046647309
801,45,5,5,Entire home/apt,2,0,3,Logan Square,North,88,68,81,0.046647309
802,100,5,78,Entire home/apt,3,1,1,Logan Square,North,88,68,81,0.046647309
803,185,5,103,Entire home/apt,4,2,2,Logan Square,North,88,68,81,0.046647309
804,75,4.5,3,Private room,3,1,1,Logan Square,North,88,68,81,0.046647309
805,106,5,20,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
806,78,5,6,Private room,3,1,2,Logan Square,North,88,68,81,0.046647309
807,175,4.5,3,Entire home/apt,9,2,1,Logan Square,North,88,68,81,0.046647309
808,100,5,12,Entire home/apt,6,3,1,Logan Square,North,88,68,81,0.046647309
809,80,5,18,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
810,75,4.5,45,Entire home/apt,7,3,3,Logan Square,North,88,68,81,0.046647309
811,50,5,8,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
812,119,5,13,Entire home/apt,4,2,2,Logan Square,North,88,68,81,0.046647309
813,50,5,3,Private room,1,1,1,Logan Square,North,88,68,81,0.046647309
814,79,5,4,Entire home/apt,2,1,3,Logan Square,North,88,68,81,0.046647309
815,150,5,136,Entire home/apt,9,3,NA,Logan Square,North,88,68,81,0.046647309
816,94,4.5,7,Entire home/apt,2,1,4,Logan Square,North,88,68,81,0.046647309
817,200,5,50,Entire home/apt,4,1,4,Logan Square,North,88,68,81,0.046647309
818,95,5,8,Entire home/apt,4,2,2,Logan Square,North,88,68,81,0.046647309
819,20,4.5,26,Shared room,12,1,1,Logan Square,North,88,68,81,0.046647309
820,140,5,31,Entire home/apt,4,2,2,Logan Square,North,88,68,81,0.046647309
821,15,4.5,100,Shared room,10,1,1,Logan Square,North,88,68,81,0.046647309
822,215,5,150,Entire home/apt,10,3,NA,Logan Square,North,88,68,81,0.046647309
823,129,5,23,Entire home/apt,4,1,1,Logan Square,North,88,68,81,0.046647309
824,99,5,3,Entire home/apt,2,1,3,Logan Square,North,88,68,81,0.046647309
825,30,4.5,35,Shared room,2,1,2,Logan Square,North,88,68,81,0.046647309
826,40,4.5,169,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
827,95,4.5,9,Entire home/apt,4,2,1,Logan Square,North,88,68,81,0.046647309
828,44,5,4,Private room,1,1,1,Logan Square,North,88,68,81,0.046647309
829,100,5,17,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
830,90,5,6,Entire home/apt,4,1,2,Logan Square,North,88,68,81,0.046647309
831,75,5,60,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
832,35,5,7,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
833,36,5,8,Private room,2,1,4,Logan Square,North,88,68,81,0.046647309
834,95,4.5,44,Entire home/apt,2,0,1,Logan Square,North,88,68,81,0.046647309
835,65,5,39,Private room,2,1,3,Logan Square,North,88,68,81,0.046647309
836,179,4.5,34,Entire home/apt,5,1,4,Logan Square,North,88,68,81,0.046647309
837,105,5,92,Entire home/apt,4,2,2,Logan Square,North,88,68,81,0.046647309
838,145,4.5,34,Entire home/apt,7,3,NA,Logan Square,North,88,68,81,0.046647309
839,108,5,8,Entire home/apt,4,2,2,Logan Square,North,88,68,81,0.046647309
840,123,4.5,41,Entire home/apt,6,2,NA,Logan Square,North,88,68,81,0.046647309
841,50,5,59,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
842,45,5,4,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
843,45,4.5,31,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
844,135,5,68,Entire home/apt,6,3,2,Logan Square,North,88,68,81,0.046647309
845,75,4.5,53,Entire home/apt,4,1,2,Logan Square,North,88,68,81,0.046647309
846,45,5,22,Private room,4,1,2,Logan Square,North,88,68,81,0.046647309
847,100,5,19,Entire home/apt,6,3,NA,Logan Square,North,88,68,81,0.046647309
848,275,5,41,Entire home/apt,8,2,2,Logan Square,North,88,68,81,0.046647309
849,395,5,18,Entire home/apt,14,3,1,Logan Square,North,88,68,81,0.046647309
850,180,5,13,Entire home/apt,6,3,2,Logan Square,North,88,68,81,0.046647309
851,89,5,17,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
852,60,5,4,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
853,95,5,23,Entire home/apt,4,2,2,Logan Square,North,88,68,81,0.046647309
854,80,5,22,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
855,75,5,347,Entire home/apt,4,0,NA,Logan Square,North,88,68,81,0.046647309
856,65,4.5,20,Entire home/apt,5,1,1,Logan Square,North,88,68,81,0.046647309
857,59,4.5,21,Entire home/apt,2,1,1,Logan Square,North,88,68,81,0.046647309
858,100,5,5,Entire home/apt,4,2,5,Logan Square,North,88,68,81,0.046647309
859,92,5,8,Entire home/apt,2,0,1,Logan Square,North,88,68,81,0.046647309
860,100,5,17,Entire home/apt,4,1,2,Logan Square,North,88,68,81,0.046647309
861,125,5,6,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
862,125,5,20,Entire home/apt,6,2,1,Logan Square,North,88,68,81,0.046647309
863,58,4.5,23,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
864,50,4.5,45,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
865,110,4.5,12,Entire home/apt,3,2,NA,Logan Square,North,88,68,81,0.046647309
866,39,4.5,16,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
867,129,4.5,7,Entire home/apt,8,3,5,Logan Square,North,88,68,81,0.046647309
868,90,5,75,Entire home/apt,6,2,2,Logan Square,North,88,68,81,0.046647309
869,115,5,5,Entire home/apt,2,1,1,Logan Square,North,88,68,81,0.046647309
870,125,5,8,Entire home/apt,6,3,NA,Logan Square,North,88,68,81,0.046647309
871,49,5,3,Shared room,4,1,1,Logan Square,North,88,68,81,0.046647309
872,64,5,38,Entire home/apt,2,1,3,Logan Square,North,88,68,81,0.046647309
873,110,5,11,Entire home/apt,4,2,1,Logan Square,North,88,68,81,0.046647309
874,150,5,263,Entire home/apt,5,2,2,Logan Square,North,88,68,81,0.046647309
875,110,5,65,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
876,55,5,6,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
877,100,4.5,22,Entire home/apt,2,1,7,Logan Square,North,88,68,81,0.046647309
878,46,4.5,4,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
879,135,5,8,Entire home/apt,4,1,2,Logan Square,North,88,68,81,0.046647309
880,120,4,18,Entire home/apt,6,3,1,Logan Square,North,88,68,81,0.046647309
881,49,5,10,Private room,1,1,1,Logan Square,North,88,68,81,0.046647309
882,100,4.5,31,Entire home/apt,4,2,3,Logan Square,North,88,68,81,0.046647309
883,75,5,54,Entire home/apt,2,1,3,Logan Square,North,88,68,81,0.046647309
884,70,5,26,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
885,55,5,22,Private room,1,1,3,Logan Square,North,88,68,81,0.046647309
886,105,5,36,Entire home/apt,5,2,NA,Logan Square,North,88,68,81,0.046647309
887,72,5,8,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
888,49,5,37,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
889,540,5,43,Entire home/apt,6,3,1,Logan Square,North,88,68,81,0.046647309
890,75,4.5,3,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
891,60,5,40,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
892,60,5,14,Private room,4,1,1,Logan Square,North,88,68,81,0.046647309
893,170,5,137,Entire home/apt,7,2,1,Logan Square,North,88,68,81,0.046647309
894,99,4.5,17,Entire home/apt,4,1,1,Logan Square,North,88,68,81,0.046647309
895,100,5,12,Entire home/apt,2,1,2,Logan Square,North,88,68,81,0.046647309
896,80,5,57,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
897,29,4.5,42,Private room,2,1,NA,Logan Square,North,88,68,81,0.046647309
898,55,5,8,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
899,129,5,59,Entire home/apt,8,3,2,Logan Square,North,88,68,81,0.046647309
900,75,5,23,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
901,125,5,9,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
902,140,5,166,Entire home/apt,3,2,NA,Logan Square,North,88,68,81,0.046647309
903,59,5,119,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
904,42,5,100,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
905,45,4.5,25,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
906,70,5,13,Private room,2,1,3,Logan Square,North,88,68,81,0.046647309
907,135,5,9,Entire home/apt,6,3,2,Logan Square,North,88,68,81,0.046647309
908,329,4.5,75,Entire home/apt,12,5,NA,Logan Square,North,88,68,81,0.046647309
909,200,5,9,Entire home/apt,5,3,2,Logan Square,North,88,68,81,0.046647309
910,60,4.5,29,Private room,1,1,1,Logan Square,North,88,68,81,0.046647309
911,40,4.5,54,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
912,36,5,37,Private room,2,1,NA,Logan Square,North,88,68,81,0.046647309
913,150,5,8,Entire home/apt,4,1,2,McKinley Park,Southwest,75,64,66,0.031035749
914,80,4.5,5,Private room,2,1,1,McKinley Park,Southwest,75,64,66,0.031035749
915,55,4.5,31,Private room,2,1,2,McKinley Park,Southwest,75,64,66,0.031035749
916,49,4.5,6,Private room,2,1,1,McKinley Park,Southwest,75,64,66,0.031035749
917,95,4.5,10,Entire home/apt,4,2,1,McKinley Park,Southwest,75,64,66,0.031035749
918,45,5,5,Private room,1,1,1,McKinley Park,Southwest,75,64,66,0.031035749
919,50,5,3,Private room,2,1,1,McKinley Park,Southwest,75,64,66,0.031035749
920,65,4.5,6,Entire home/apt,2,1,1,McKinley Park,Southwest,75,64,66,0.031035749
921,88,4.5,124,Entire home/apt,5,2,1,McKinley Park,Southwest,75,64,66,0.031035749
922,50,5,5,Private room,2,1,1,McKinley Park,Southwest,75,64,66,0.031035749
923,80,5,8,Entire home/apt,3,1,3,McKinley Park,Southwest,75,64,66,0.031035749
924,49,5,9,Private room,2,1,1,McKinley Park,Southwest,75,64,66,0.031035749
925,29,5,10,Private room,2,1,15,McKinley Park,Southwest,75,64,66,0.031035749
926,131,4.5,74,Entire home/apt,6,1,2,McKinley Park,Southwest,75,64,66,0.031035749
927,89,4,35,Entire home/apt,5,2,3,McKinley Park,Southwest,75,64,66,0.031035749
928,120,5,26,Entire home/apt,4,2,2,Montclare,Northwest,74,58,63,0.044302826
929,110,4.5,27,Entire home/apt,4,2,2,Montclare,Northwest,74,58,63,0.044302826
930,120,5,4,Entire home/apt,5,2,2,Montclare,Northwest,74,58,63,0.044302826
931,240,5,4,Entire home/apt,10,4,2,Montclare,Northwest,74,58,63,0.044302826
932,105,5,3,Entire home/apt,4,2,1,Montclare,Northwest,74,58,63,0.044302826
933,25,4.5,36,Private room,2,1,1,Morgan Park,Far Southwest,66,50,71,0.65983249
934,96,5,61,Entire home/apt,3,1,2,Morgan Park,Far Southwest,66,50,71,0.65983249
935,96,5,38,Entire home/apt,4,2,2,Morgan Park,Far Southwest,66,50,71,0.65983249
936,25,4.5,29,Private room,2,1,1,Morgan Park,Far Southwest,66,50,71,0.65983249
937,150,5,18,Entire home/apt,2,1,2,Near West Side,West,86,82,89,0.30391141
938,165,5,17,Entire home/apt,4,1,1,Near West Side,West,86,82,89,0.30391141
939,225,4.5,33,Entire home/apt,10,3,2,Near West Side,West,86,82,89,0.30391141
940,50,3,16,Private room,2,1,1,Near West Side,West,86,82,89,0.30391141
941,45,5,3,Private room,2,1,5,Near West Side,West,86,82,89,0.30391141
942,135,5,32,Entire home/apt,6,2,NA,Near West Side,West,86,82,89,0.30391141
943,49,5,9,Private room,2,1,3,Near West Side,West,86,82,89,0.30391141
944,129,5,11,Private room,2,1,1,Near West Side,West,86,82,89,0.30391141
945,350,5,16,Entire home/apt,12,4,1,Near West Side,West,86,82,89,0.30391141
946,90,5,88,Private room,4,1,2,Near West Side,West,86,82,89,0.30391141
947,49,5,12,Private room,1,1,1,Near West Side,West,86,82,89,0.30391141
948,180,4.5,38,Entire home/apt,8,3,2,Near West Side,West,86,82,89,0.30391141
949,150,5,35,Entire home/apt,4,2,1,Near West Side,West,86,82,89,0.30391141
950,140,4.5,3,Entire home/apt,3,1,NA,Near West Side,West,86,82,89,0.30391141
951,180,5,6,Private room,1,1,2,Near West Side,West,86,82,89,0.30391141
952,87,5,3,Private room,2,1,1,Near West Side,West,86,82,89,0.30391141
953,35,5,17,Private room,2,1,1,Near West Side,West,86,82,89,0.30391141
954,210,5,35,Entire home/apt,4,2,2,Near West Side,West,86,82,89,0.30391141
955,375,4.5,80,Entire home/apt,6,1,2,Near West Side,West,86,82,89,0.30391141
956,195,5,3,Entire home/apt,2,1,2,Near West Side,West,86,82,89,0.30391141
957,250,5,25,Entire home/apt,6,3,1,Near West Side,West,86,82,89,0.30391141
958,44,5,14,Private room,2,1,3,Near West Side,West,86,82,89,0.30391141
959,33,5,3,Private room,2,1,1,Near West Side,West,86,82,89,0.30391141
960,225,4.5,12,Entire home/apt,6,2,2,Near West Side,West,86,82,89,0.30391141
961,44,5,54,Private room,1,1,1,Near West Side,West,86,82,89,0.30391141
962,200,5,40,Entire home/apt,8,4,3,Near West Side,West,86,82,89,0.30391141
963,175,5,16,Private room,2,1,2,Near West Side,West,86,82,89,0.30391141
964,150,5,11,Entire home/apt,6,3,4,Near West Side,West,86,82,89,0.30391141
965,164,4.5,27,Entire home/apt,6,2,1,Near West Side,West,86,82,89,0.30391141
966,125,5,61,Private room,2,1,2,Near West Side,West,86,82,89,0.30391141
967,215,5,16,Entire home/apt,4,1,3,Near West Side,West,86,82,89,0.30391141
968,49,3.5,18,Private room,2,1,1,Near West Side,West,86,82,89,0.30391141
969,66,5,6,Private room,2,1,2,Near West Side,West,86,82,89,0.30391141
970,30,5,23,Private room,2,1,2,Near West Side,West,86,82,89,0.30391141
971,200,5,37,Entire home/apt,4,1,2,Near West Side,West,86,82,89,0.30391141
972,750,5,9,Entire home/apt,6,3,1,Near West Side,West,86,82,89,0.30391141
973,140,5,5,Private room,2,1,1,Near West Side,West,86,82,89,0.30391141
974,49,4.5,3,Private room,2,1,4,Near West Side,West,86,82,89,0.30391141
975,325,4.5,3,Entire home/apt,2,1,2,Near West Side,West,86,82,89,0.30391141
976,150,5,7,Entire home/apt,2,1,2,Near West Side,West,86,82,89,0.30391141
977,85,5,37,Private room,2,1,1,Near West Side,West,86,82,89,0.30391141
978,202,4,28,Entire home/apt,16,4,2,Near West Side,West,86,82,89,0.30391141
979,100,5,4,Private room,4,1,2,North Center,North,88,66,71,0.019466828
980,139,5,29,Entire home/apt,5,2,NA,North Center,North,88,66,71,0.019466828
981,42,5,89,Private room,2,1,4,North Center,North,88,66,71,0.019466828
982,109,4.5,28,Entire home/apt,3,1,NA,North Center,North,88,66,71,0.019466828
983,165,5,136,Entire home/apt,2,1,1,North Center,North,88,66,71,0.019466828
984,172,5,69,Entire home/apt,6,2,NA,North Center,North,88,66,71,0.019466828
985,65,5,10,Private room,2,1,1,North Center,North,88,66,71,0.019466828
986,250,3.5,7,Entire home/apt,6,2,3,North Center,North,88,66,71,0.019466828
987,140,4.5,17,Entire home/apt,8,2,2,North Center,North,88,66,71,0.019466828
988,140,4.5,30,Entire home/apt,3,1,3,North Center,North,88,66,71,0.019466828
989,145,5,31,Entire home/apt,3,2,2,North Center,North,88,66,71,0.019466828
990,100,5,8,Private room,4,1,2,North Center,North,88,66,71,0.019466828
991,84,5,111,Private room,2,1,2,North Center,North,88,66,71,0.019466828
992,78,5,20,Private room,2,1,2,North Center,North,88,66,71,0.019466828
993,95,5,55,Entire home/apt,3,1,3,North Center,North,88,66,71,0.019466828
994,126,5,17,Entire home/apt,6,2,NA,North Center,North,88,66,71,0.019466828
995,65,4.5,14,Private room,2,1,1,North Center,North,88,66,71,0.019466828
